iter	RMSE
164	9.090337374
165	9.00790475
166	8.854859371
167	8.779628455
168	8.732119774
169	8.595637608
170	8.508491427
171	8.367132279
172	8.254547206
173	8.222496427
174	8.205206254
175	8.114797036
176	8.032451893
177	7.909334201
178	7.730753125
179	7.619510675
180	7.516310482
181	7.466087167
182	7.414564906
183	7.364905387
184	7.313847294
185	7.303566797
186	7.173422406
187	7.12593784
188	7.018336138
189	6.952757149
190	6.919544885
191	6.886261015
192	6.803806149
193	6.697760153
194	6.59998364
195	6.567154863
196	6.538057942
197	6.453199909
198	6.408355961
199	6.336772895
200	6.329325284
201	6.252975294
202	6.184352245
203	6.081164138
204	5.989241269
205	5.976914157
206	5.929438209
207	5.888216674
208	5.839228277
209	5.813737131
210	5.76145478
211	5.737760759
212	5.729211655
213	5.68056543
214	5.664281246
215	5.638137584
216	5.54060203
217	5.523449903
218	5.452436507
219	5.415891286
220	5.378332408
221	5.30519404
222	5.269290675
223	5.238173711
224	5.164936661
225	5.140013287
226	5.074801655
227	5.012950701
228	5.004069695
229	4.999965663
230	4.96550975
231	4.949386966
232	4.913517469
233	4.839135521
234	4.821903118
235	4.770414682
236	4.738811204
237	4.67647026
238	4.644708539
239	4.572728521
240	4.559424707
241	4.54637107
242	4.502423615
243	4.495185103
244	4.483868432
245	4.450185624
246	4.416527858
247	4.391670671
248	4.346618689
249	4.303837852
250	4.288519357
251	4.2381037
252	4.22941351
253	4.16688278
254	4.131490744
255	4.090010928
256	4.075435451
257	4.066688974
258	4.05420243
259	4.027039818
260	3.969597826
261	3.918717545
262	3.911643739
263	3.885042196
264	3.86764824
265	3.849767152
266	3.828065021
267	3.790636226
268	3.756844349
269	3.75334702
270	3.727406887
271	3.688265015
272	3.668926106
273	3.646649425
274	3.635147828
275	3.605838275
276	3.581668998
277	3.576058947
278	3.551191421
279	3.494543188
280	3.451438554
281	3.407262274
282	3.369252458
283	3.356684732
284	3.347199475
285	3.321047637
286	3.284881413
287	3.264917123
288	3.237015749
289	3.213742326
290	3.208100268
291	3.152539902
292	3.09769639
293	3.065089807
294	3.060719091
295	3.022270122
296	2.998634563
297	2.968270764
298	2.951137323
299	2.927588066
300	2.900329745
301	2.897779524
302	2.885651576
303	2.85525651
304	2.835598923
305	2.829142211
306	2.79433649
307	2.746287497
308	2.728620105
309	2.715374281
310	2.68396553
311	2.675647639
312	2.652972298
313	2.626158952
314	2.574349295
315	2.551410443
316	2.53346009
317	2.504501091
318	2.481181281
319	2.466836805
320	2.461043071
321	2.443291079
322	2.429878055
323	2.408217413
324	2.389083214
325	2.386225954
326	2.358796433
327	2.337694283
328	2.326014452
329	2.303241793
330	2.295356268
331	2.287671526
332	2.266636482
333	2.245995868
334	2.243232884
335	2.209567457
336	2.198113293
337	2.163969502
338	2.16017585
339	2.154610673
340	2.149454914
341	2.128031834
342	2.105541278
343	2.083823339
344	2.061280189
345	2.042097786
346	2.022960283
347	2.020850062
348	1.999705403
349	1.971978027
350	1.968152572
351	1.965937117
352	1.949757106
353	1.928951048
354	1.902289512
355	1.885183953
356	1.865147787
357	1.847932441
358	1.833926993
359	1.831244288
360	1.821125069
361	1.792498128
362	1.79015334
363	1.773580908
364	1.76440493
365	1.742168595
366	1.731875643
367	1.711326511
368	1.702192557
369	1.69967246
370	1.693560133
371	1.667314427
372	1.654401098
373	1.644554697
374	1.617358644
375	1.598341942
376	1.592855069
377	1.590985421
378	1.588196008
379	1.586061319
380	1.578890091
381	1.564784788
382	1.557696306
383	1.538382795
384	1.52924731
385	1.514620648
386	1.511664119
387	1.510348854
388	1.509181037
389	1.478786786
390	1.465911828
391	1.44468688
392	1.43154879
393	1.430366284
394	1.408746693
395	1.390484125
396	1.389255258
397	1.373850185
398	1.359859329
399	1.353172464
