iter	RMSE
0	443.4579518
1	382.6189074
2	337.7293704
3	300.5390807
4	263.7676063
5	230.5426457
6	216.4006092
7	198.1597511
8	178.931115
9	164.2359078
10	152.682125
11	139.7162671
12	127.7357225
13	121.0259813
14	113.9742329
15	106.5817557
16	102.7299229
17	95.39917449
18	88.82706815
19	86.06456293
20	81.46061764
21	77.87189636
22	74.86584635
23	72.23124486
24	70.32297954
25	66.4097091
26	64.91102572
27	61.63120827
28	60.12519551
29	58.99275618
30	57.97289179
31	55.60674303
32	54.45192928
33	52.76081133
34	51.28349077
35	50.45700046
36	49.69984209
37	49.14534438
38	47.37029445
39	46.84513292
40	46.21657009
41	45.60863009
42	43.75068849
43	42.64959928
44	42.34697069
45	41.95039537
46	41.07668328
47	40.82478547
48	40.46220847
49	39.27662073
50	38.96551641
51	38.77864687
52	38.60961979
53	37.57741462
54	37.34265968
55	37.03574438
56	36.91855354
57	36.56247376
58	35.44837192
59	34.99671206
60	34.7557275
61	33.67811547
62	33.23181263
63	32.8378981
64	32.23569283
65	31.56992659
66	31.27212615
67	31.21093944
68	31.01212812
69	30.65738785
70	30.29437863
71	30.24072518
72	29.85470179
73	29.54907211
74	29.41363333
75	28.80751483
76	28.14287332
77	27.70313807
78	27.034143
79	26.67854405
80	26.22852503
81	25.98871097
82	25.63352667
83	25.3637159
84	24.64410348
85	24.38808684
86	24.02833154
87	23.92037536
88	23.77913566
89	23.5615658
90	23.05991176
91	22.72556375
92	21.86615629
93	21.64650559
94	21.135336
95	20.70099679
96	20.59329178
97	20.33154282
98	20.18493176
99	19.72182041
100	19.38234687
101	19.17732353
102	18.93867428
103	18.56952993
104	18.15050851
105	18.07714576
106	17.86356788
107	17.59581693
108	17.26521546
109	17.21803753
110	17.05401766
111	16.68697918
112	16.3686976
113	16.17639124
114	15.90447556
115	15.69821202
116	15.62061849
117	15.33222781
118	15.08813566
119	14.81203684
120	14.67427958
121	14.46534869
122	14.18892317
123	14.02076461
124	13.86193253
125	13.74521831
126	13.53508016
127	13.46359508
128	13.2822122
129	13.17814741
130	12.99716207
131	12.7455259
132	12.68873787
133	12.60339681
134	12.46120477
135	12.25738697
136	12.19392206
137	11.97052713
138	11.79535874
139	11.57093507
140	11.53555582
141	11.41222209
142	11.32531792
143	11.25495563
144	11.06406425
145	10.98626452
146	10.85047019
147	10.68097686
148	10.54721955
149	10.39056497
150	10.33092698
151	10.25905275
152	10.14973869
153	10.11611641
154	10.00887425
155	9.850960807
156	9.690041874
157	9.580025891
158	9.495749429
159	9.380796392
160	9.342579609
161	9.320029073
162	9.260494776
163	9.172109761
